sample	LD_threshold	N_partial_matches	N_complete_matches	N_evaluated	partial_matches_prop	complete_matches_prop
Loschbour	0.5	28480984	27150193	28681135	0.9930215104806696	0.9466219868913834
Loschbour	0.6	22365711	21636605	22456534	0.9959556091781573	0.9634881767596014
Loschbour	0.7	17836090	17466847	17872498	0.997962903674685	0.9773030608256328
Loschbour	0.8	13982723	13819534	13994787	0.9991379647292953	0.9874772656418422
Loschbour	0.9	10148529	10098515	10151464	0.999710879140191	0.9947841020763114
Ust'-Ishim	0.5	31782846	28972187	32168071	0.988024616085932	0.9006504306708351
Ust'-Ishim	0.6	24957983	23220242	25166294	0.9917226191508373	0.9226722853988751
Ust'-Ishim	0.7	19914922	18889511	20017786	0.9948613697838512	0.9436363741724484
Ust'-Ishim	0.8	15620562	15061695	15662043	0.9973514949486475	0.9616686022379073
Ust'-Ishim	0.9	11329693	11096033	11342528	0.9988684180457831	0.978268072161691
