chr	pos	non_missing_samples
chrX	990180	4829
chrX	1501471	3804
chrX	2700157	5684
chrX	2709331	4397
chrX	2710887	5576
chrX	2711961	4123
chrX	2713211	386
chrX	2719111	4138
chrX	2729625	974
chrX	2732096	2233
chrX	2732166	1098
chrX	2743286	1009
chrX	2743627	3171
chrX	2746489	5542
chrX	2746835	1333
chrX	2759615	4198
chrX	2765370	775
chrX	2765925	3508
chrX	2767020	4949
chrX	2767269	4763
chrX	2767366	3020
chrX	2774700	5334
chrX	2775998	5025
chrX	2777107	957
chrX	2777560	834
chrX	2779345	1849
chrX	2783126	4589
chrX	2783555	4927
chrX	2785740	4232
chrX	2786596	5392
chrX	2786608	5436
chrX	2789848	3468
chrX	2790762	3845
chrX	2791113	4141
chrX	2791278	1604
chrX	2791604	3299
chrX	2792617	1550
chrX	2793443	3330
chrX	2794217	2607
chrX	2800295	5385
chrX	2800624	5000
chrX	2817304	2207
chrX	2820455	3562
chrX	2821978	4374
chrX	2822601	5732
chrX	2823658	4827
chrX	2823683	4666
chrX	2825363	6039
chrX	2825403	5746
chrX	2835863	3169
chrX	2836037	5050
chrX	2836041	5015
chrX	2836084	4434
chrX	2836181	5692
chrX	2836349	6069
chrX	2847017	5462
chrX	2847133	4591
chrX	2850901	5163
chrX	2865296	1881
chrX	2873356	3557
chrX	2876682	2877
chrX	2876683	2854
chrX	2881200	3345
chrX	2885257	3634
chrX	2885262	3904
chrX	2885723	4870
chrX	2886144	4649
chrX	2891545	4187
chrX	2892237	5417
chrX	2893167	4829
chrX	2893255	2327
chrX	2896017	2509
chrX	2897195	991
chrX	2908602	1406
chrX	2910100	4851
chrX	2910684	2044
chrX	2911463	2644
chrX	2918142	4666
chrX	2920459	2495
chrX	2924934	4879
chrX	2931530	2029
chrX	2931940	3956
chrX	2933955	1849
chrX	2936675	3971
chrX	2947274	5446
chrX	2951434	4007
chrX	2961605	5072
chrX	2962707	5188
chrX	2996976	5325
chrX	3005242	4064
chrX	3007480	1900
chrX	3010500	1496
chrX	3010694	4254
chrX	3011751	1838
chrX	3012405	3628
chrX	3019465	2407
chrX	3025174	2024
chrX	3028385	4918
chrX	3030426	5083
chrX	3030760	3308
chrX	3030877	3610
chrX	3031093	2507
chrX	3032054	5127
chrX	3036194	4965
chrX	3052354	1210
chrX	3060695	3333
chrX	3062982	3794
chrX	3065928	1471
chrX	3066125	1304
chrX	3066505	2022
chrX	3073671	1800
chrX	3075778	4511
chrX	3075967	1280
chrX	3076465	1018
chrX	3084481	3451
chrX	3086394	5317
chrX	3087306	2080
chrX	3089697	5212
chrX	3090667	4508
chrX	3101241	475
chrX	3103318	3590
chrX	3106679	3398
chrX	3110248	4416
chrX	3113264	2721
chrX	3114209	5216
chrX	3115031	1621
chrX	3117729	5215
chrX	3119155	3534
chrX	3120780	5133
chrX	3121402	2929
chrX	3124461	3830
chrX	3126343	1453
chrX	3127003	4684
chrX	3127322	4721
chrX	3127482	1183
chrX	3129285	1507
chrX	3129641	2169
chrX	3129753	1454
chrX	3131176	1529
chrX	3131591	1361
chrX	3133733	3838
