chr	pos	non_missing_samples
chr12	174122	1813
chr12	180775	4746
chr12	184095	6595
chr12	192220	6259
chr12	193818	4330
chr12	193920	5338
chr12	195901	5174
chr12	195914	5595
chr12	196610	4806
chr12	197841	5872
chr12	199532	4801
chr12	207231	5254
chr12	207691	4538
chr12	207857	2307
chr12	207886	3092
chr12	209354	5470
chr12	210509	4183
chr12	215121	5968
chr12	216039	1893
chr12	216210	1795
chr12	217028	3539
chr12	217764	2752
chr12	219191	5869
chr12	219988	6144
chr12	221203	5476
chr12	223193	4394
chr12	223258	4974
chr12	223422	4458
chr12	223656	3650
chr12	224000	4461
chr12	224328	6333
chr12	224337	6339
chr12	225315	5940
chr12	225655	4694
chr12	225699	5495
chr12	229541	2554
chr12	232123	4988
chr12	234295	5738
chr12	235962	4552
chr12	236115	5931
chr12	237186	5221
chr12	237521	5862
chr12	238648	6100
chr12	239143	5133
chr12	240777	5508
chr12	243389	4864
chr12	244627	6136
chr12	245335	5448
chr12	245828	6707
chr12	249007	6393
chr12	250239	5657
chr12	250605	5990
chr12	250987	1743
chr12	255195	4905
chr12	257633	4868
chr12	257695	6173
chr12	257987	5771
chr12	258585	6550
chr12	258807	5574
chr12	260682	5737
chr12	260870	6394
chr12	261676	5843
chr12	261784	5703
chr12	261824	5773
chr12	261929	5107
chr12	262041	4313
chr12	263839	5940
chr12	263954	6203
chr12	264136	5756
chr12	265928	6200
chr12	269531	4893
chr12	270682	5719
chr12	270896	5095
chr12	276019	4420
chr12	277464	5340
chr12	278376	3509
chr12	279458	6245
chr12	279586	5431
chr12	280349	5164
chr12	288149	5600
chr12	294544	5154
chr12	295546	4297
chr12	297943	5011
chr12	298877	6367
chr12	299043	6224
chr12	299542	5887
chr12	299715	5139
chr12	300541	5232
chr12	301428	5783
chr12	303143	4331
chr12	303320	5393
chr12	304004	5386
chr12	309753	2235
chr12	310113	5948
chr12	310334	5948
chr12	310419	5718
chr12	310571	5890
chr12	311949	5661
chr12	318366	6288
chr12	318746	3818
chr12	326079	2110
chr12	327421	5522
chr12	332860	5896
chr12	334342	3898
chr12	334955	4588
chr12	335010	5360
chr12	335434	6167
chr12	335922	5668
chr12	337105	5841
chr12	338473	2309
chr12	339048	5939
chr12	339320	5912
chr12	340535	6193
chr12	341376	6209
chr12	342613	5261
chr12	342911	4344
chr12	347359	6218
chr12	349298	2689
chr12	351043	4490
chr12	351197	4756
chr12	351323	4895
chr12	351711	6322
chr12	354289	4451
chr12	358015	3894
chr12	359463	2080
chr12	361588	3866
chr12	361996	5999
